audit,channel,test_split,test_index,memory_pool_size,max_instruction_similarity,nearest_instruction_memory_index,min_plan_edit_distance,nearest_edit_memory_index,max_plan_trigram_jaccard,nearest_ngram_memory_index,full_signature_overlap,published_routed_skill
strict_split,episode_heldout,test,1353,1232,1.0,252,0,15,1.0,15,True,
strict_split,episode_heldout,test,1408,1232,0.9999999403953552,4769,0,82,1.0,82,True,
strict_split,episode_heldout,test,1429,1232,0.9999998807907104,362,0,347,1.0,347,True,
strict_split,episode_heldout,test,1445,1232,0.9999998211860657,233,0,73,1.0,73,True,
strict_split,episode_heldout,test,1460,1232,0.9999998807907104,82,0,184,1.0,184,True,
strict_split,episode_heldout,test,1482,1232,0.9999999403953552,2348,0,38,1.0,38,True,
strict_split,episode_heldout,test,1531,1232,0.9999998211860657,57,0,56,1.0,56,True,
strict_split,episode_heldout,test,1615,1232,0.9999998807907104,170,0,57,1.0,57,True,
strict_split,episode_heldout,test,1627,1232,0.9999998211860657,57,0,186,1.0,186,True,
strict_split,episode_heldout,test,1718,1232,1.0,662,0,38,1.0,38,True,
strict_split,episode_heldout,test,1729,1232,0.9999997019767761,482,0,263,1.0,263,True,
strict_split,episode_heldout,test,13,415,0.9999999403953552,788,0,54,1.0,54,True,
strict_split,episode_heldout,test,53,415,0.9999998807907104,3699,0,453,1.0,453,True,
strict_split,episode_heldout,test,94,415,1.0000001192092896,1460,0,17,1.0,17,True,
strict_split,episode_heldout,test,115,415,1.0,2859,0,928,1.0,928,True,
strict_split,episode_heldout,test,145,415,1.0,2892,0,374,1.0,374,True,
strict_split,episode_heldout,test,334,415,1.0000001192092896,3441,0,911,1.0,911,True,
strict_split,episode_heldout,test,340,415,0.9999998807907104,224,0,138,1.0,138,True,
strict_split,episode_heldout,test,564,415,1.0,3432,0,1543,1.0,1543,True,
strict_split,episode_heldout,test,584,415,0.9803332090377808,2257,0,165,1.0,165,True,
strict_split,episode_heldout,test,783,415,0.9999999403953552,2240,0,711,1.0,711,True,
strict_split,episode_heldout,test,897,415,1.0000001192092896,1824,0,711,1.0,711,True,
strict_split,episode_heldout,test,923,415,0.9999997615814209,867,0,138,1.0,138,True,
strict_split,episode_heldout,test,1037,415,0.9999999403953552,2903,0,42,1.0,42,True,
strict_split,episode_heldout,test,1236,415,1.000000238418579,457,0,369,1.0,369,True,
strict_split,episode_heldout,test,1304,415,1.0,3747,0,374,1.0,374,True,
strict_split,episode_heldout,test,1313,415,1.0000001192092896,571,0,571,1.0,571,True,
strict_split,episode_heldout,test,1345,415,0.9999999403953552,2240,0,292,1.0,292,True,
strict_split,episode_heldout,test,1359,415,0.9999999403953552,649,0,649,1.0,649,True,
strict_split,episode_heldout,test,1509,415,0.9999999403953552,649,0,649,1.0,649,True,
strict_split,episode_heldout,test,1685,415,1.0,3063,0,232,1.0,232,True,
strict_split,episode_heldout,test,1797,415,1.0,994,0,219,1.0,219,True,
strict_split,episode_heldout,test,1,627,0.9999998807907104,6896,0,63,1.0,63,True,
strict_split,episode_heldout,test,18,627,0.9999997615814209,3494,0,279,1.0,279,True,
strict_split,episode_heldout,test,29,627,1.0,1819,0,36,1.0,36,True,
strict_split,episode_heldout,test,45,627,0.9999998807907104,444,0,36,1.0,36,True,
strict_split,episode_heldout,test,59,627,1.0,5982,0,156,1.0,156,True,
strict_split,episode_heldout,test,62,627,0.9999997615814209,494,0,63,1.0,63,True,
strict_split,episode_heldout,test,85,627,0.9999999403953552,1009,0,36,1.0,36,True,
strict_split,episode_heldout,test,133,627,0.9999999403953552,5989,0,77,1.0,77,True,
strict_split,episode_heldout,test,192,627,1.0,871,0,690,1.0,690,True,
strict_split,episode_heldout,test,234,627,0.9999998807907104,2790,0,76,1.0,76,True,
strict_split,episode_heldout,test,247,627,0.9999998807907104,781,0,690,1.0,690,True,
strict_split,episode_heldout,test,265,627,0.9999998807907104,190,0,77,1.0,77,True,
strict_split,episode_heldout,test,335,627,0.9999999403953552,4587,0,21,1.0,21,True,
strict_split,episode_heldout,test,467,627,0.9999999403953552,140,0,21,1.0,21,True,
strict_split,episode_heldout,test,595,627,0.9999998807907104,1037,0,76,1.0,76,True,
strict_split,episode_heldout,test,706,627,0.9999998807907104,1905,0,200,1.0,200,True,
strict_split,episode_heldout,test,730,627,0.9999998807907104,712,0,76,1.0,76,True,
strict_split,episode_heldout,test,738,627,0.9999998807907104,2665,0,690,1.0,690,True,
strict_split,episode_heldout,test,829,627,0.9999998807907104,744,0,279,1.0,279,True,
strict_split,episode_heldout,test,924,627,1.0,832,0,18,1.0,18,True,
strict_split,episode_heldout,test,946,627,1.0000001192092896,955,0,76,1.0,76,True,
strict_split,episode_heldout,test,990,627,1.0,1526,0,18,1.0,18,True,
strict_split,episode_heldout,test,1003,627,0.9999998807907104,376,0,76,1.0,76,True,
strict_split,episode_heldout,test,1052,627,1.0,147,0,18,1.0,18,True,
strict_split,episode_heldout,test,1102,627,0.9999998211860657,116,0,76,1.0,76,True,
strict_split,episode_heldout,test,1150,627,0.9999999403953552,1388,0,156,1.0,156,True,
strict_split,episode_heldout,test,1302,627,0.9999999403953552,1669,0,63,1.0,63,True,
strict_split,episode_heldout,test,1319,627,1.0000001192092896,955,0,76,1.0,76,True,
strict_split,episode_heldout,test,1341,627,0.9999998807907104,1037,0,76,1.0,76,True,
strict_split,episode_heldout,test,1344,627,0.9999998807907104,2325,0,18,1.0,18,True,
strict_split,episode_heldout,test,1367,627,0.9999999403953552,431,0,279,1.0,279,True,
strict_split,episode_heldout,test,1430,627,0.9999998807907104,358,0,21,1.0,21,True,
strict_split,episode_heldout,test,1469,627,1.0,569,0,200,1.0,200,True,
strict_split,episode_heldout,test,1501,627,0.9999998807907104,1132,0,200,1.0,200,True,
strict_split,episode_heldout,test,1581,627,1.0,319,0,200,1.0,200,True,
strict_split,episode_heldout,test,1623,627,0.9999998807907104,764,0,200,1.0,200,True,
strict_split,episode_heldout,test,1713,627,1.0000001192092896,955,0,76,1.0,76,True,
strict_split,episode_heldout,test,1790,627,0.9999999403953552,2751,0,76,1.0,76,True,
strict_split,episode_heldout,test,1793,627,1.0,832,0,18,1.0,18,True,
strict_split,episode_heldout,test,84,283,0.9999999403953552,314,0,2,1.0,2,True,
strict_split,episode_heldout,test,153,283,0.9999999403953552,495,0,84,1.0,84,True,
strict_split,episode_heldout,test,187,283,0.9999998807907104,160,0,160,1.0,160,True,
strict_split,episode_heldout,test,282,283,1.0,291,0,2,1.0,2,True,
